supplier,item_code,item_description,retail_sales,retail_transfers,warehouse_sales,date,cpi,unemployment_rate,fuel_price,competitor_price,customer_rating,lag_sales_1,rolling_mean_sales_7,item_type_DUNNAGE,item_type_KEGS,item_type_LIQUOR,item_type_NON-ALCOHOL,item_type_REF,item_type_STR_SUPPLIES,item_type_WINE,brand_Budweiser,brand_Corona,brand_Generic Brand,brand_Jack Daniel's,brand_Smirnoff,brand_Sutter Home,region_North,region_South,region_West,payment_method_Credit Card,payment_method_Online,weather_Rainy,weather_Sunny
ANHEUSER BUSCH INC,20093,10 BARREL JOE IPA 1/6K,0.0,0.0,1.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.0,4.0,4.0,2.5,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
ANHEUSER BUSCH INC,20093,10 BARREL JOE IPA 1/6K,0.0,0.0,4.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.0,4.7,1.0,3.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
ANHEUSER BUSCH INC,20093,10 BARREL JOE IPA 1/6K,0.0,0.0,4.0,2020-09-01,104.67309393453672,5.066327815175181,3.2078787595436165,0.0,4.3,4.0,3.25,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
REPUBLIC NATIONAL DISTRIBUTING CO,312898,10 SPAN CHARD - 750ML,0.25,0.0,0.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.2554229834849538,4.7,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
FETZER VINEYARDS,240520,1000 STORIES GOLD RUSH RED - 750ML,2.51,1.0,2.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,2.4532601092304525,4.7,1.0,1.5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
FETZER VINEYARDS,240520,1000 STORIES GOLD RUSH RED - 750ML,2.17,0.0,1.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,2.2410688015274447,4.0,2.0,1.3333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
FETZER VINEYARDS,240521,1000 STORIES PROSPECTORS PROOF CAB - 750ML,7.07,4.0,3.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,7.114185985786841,4.6,0.0,1.5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
FETZER VINEYARDS,240521,1000 STORIES PROSPECTORS PROOF CAB - 750ML,1.37,0.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,1.3025537565453609,3.7,3.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
FETZER VINEYARDS,84631,1000 STORIES ZIN - 750ML,2.21,1.0,1.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,2.116861181877934,4.6,4.0,2.5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False
LEGENDS LTD,318580,123 ORGANIC TEQ BLANCO - 750ML,0.17,0.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.16633499958244266,3.6,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
LEGENDS LTD,77532,123 TEQUILA - ANEJO - 750ML,0.17,0.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.16431388288517546,4.8,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
LEGENDS LTD,77521,123 TEQUILA - REPOSADO - 750ML,1.02,0.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,1.0087485091028154,4.7,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
THE WINE GROUP,349458,13 CELSIUS PINOT GRIGIO - 750ML,1.92,3.0,2.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,1.9092205983944253,4.2,1.0,1.5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
THE WINE GROUP,349458,13 CELSIUS PINOT GRIGIO - 750ML,1.62,2.0,3.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,1.5648093986987728,4.7,2.0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True
THE WINE GROUP,69443,13 CELSIUS S/BLANC - 750ML,10.47,31.0,27.92,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,10.973243419114029,4.4,14.0,20.96,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False
STE MICHELLE WINE ESTATES,83951,14 HANDS BUBBLES - CAN - 375ML,7.93,2.0,1.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,7.8303625757239415,3.9,0.0,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
STE MICHELLE WINE ESTATES,42165,14 HANDS CAB - 750ML,42.86,37.0,37.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,42.438842729648954,4.1,59.0,48.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
STE MICHELLE WINE ESTATES,73467,14 HANDS CHARD - 750ML,20.93,22.0,10.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,20.564925619663946,3.8,6.0,8.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
STE MICHELLE WINE ESTATES,300372,14 HANDS HOT TO TROT RED - 750ML,41.49,36.0,21.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,40.571065617701464,4.5,21.0,21.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
STE MICHELLE WINE ESTATES,300372,14 HANDS HOT TO TROT RED - 750ML,22.15,24.0,18.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,21.56843021515242,4.4,21.0,20.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
STE MICHELLE WINE ESTATES,80678,14 HANDS HOT TO TROT RED - CAN -375ML,3.85,3.0,4.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,3.657634923462459,3.9,0.0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
STE MICHELLE WINE ESTATES,46627,14 HANDS HOT TO TROT WHT - 750ML,0.0,0.0,1.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.0,4.0,1.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
REPUBLIC NATIONAL DISTRIBUTING CO,333250,14 HANDS KENTUCKY DERBY RED - 750ML,0.25,0.0,0.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,0.24592603364996482,3.9,3.0,1.5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True
REPUBLIC NATIONAL DISTRIBUTING CO,333250,14 HANDS KENTUCKY DERBY RED - 750ML,0.08,0.0,0.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,0.08163594407534237,4.1,0.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True
STE MICHELLE WINE ESTATES,40344,14 HANDS MER - 750ML,20.18,20.0,16.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,20.83471439999283,4.1,31.0,23.5,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False
STE MICHELLE WINE ESTATES,322045,14 HANDS P/GRIG - 750ML,24.89,24.0,3.0,2020-03-01,101.56132064072577,5.086093471928478,3.3562563943552,23.756344859688124,4.8,1.0,2.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
STE MICHELLE WINE ESTATES,322045,14 HANDS P/GRIG - 750ML,18.49,18.0,5.0,2020-07-01,102.97864308086773,5.458510897320036,3.4415503305958706,18.219431003214623,4.0,3.0,3.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
